證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M1900  ,造紙工業類指數,20000119,        -,    -2.38,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000120,        -,  -111.95,        -,        -,        -,        -
M2500  ,建材營造類指數,20000120,       -6,     5.51,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000120,        0,    -3.34,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000120,        -,     1.56,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000120,        -,     1.94,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000121,        -,    -5.35,        -,        -,        -,        -
M2500  ,建材營造類指數,20000121,        0,    -5.08,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000121,        0,     9.13,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000121,        -,     1.93,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000121,        -,   -19.81,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000124,        -,    26.41,        -,        -,        -,        -
M2500  ,建材營造類指數,20000124,        6,    -2.28,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000124,        0,  -329.39,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000124,        -,     0.00,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000124,        -,    -8.55,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000125,        -,   -74.41,        -,        -,        -,        -
M2500  ,建材營造類指數,20000125,        0,    -0.84,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000125,        0,    25.13,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000125,        -,     1.03,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000125,        -,   -29.13,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000126,        -,    99.82,        -,        -,        -,        -
M2500  ,建材營造類指數,20000126,        0,     6.94,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000126,        0,   -17.60,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000126,        -,     1.52,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000126,        -,     0.81,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000127,        -,  -254.96,        -,        -,        -,        -
M2500  ,建材營造類指數,20000127,        0,    28.34,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000127,        0,   -48.45,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000127,        -,     0.00,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000127,        -,     0.00,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000128,        -,    43.43,        -,        -,        -,        -
M2500  ,建材營造類指數,20000128,        0,     5.83,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000128,        0,   120.97,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000128,        -,     0.00,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000128,        -,   -31.89,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000129,        -,   107.73,        -,        -,        -,        -
M2500  ,建材營造類指數,20000129,        3,   -19.56,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000129,        0,     2.36,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000129,        -,     0.77,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000129,        -,    31.79,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000131,        -,    20.61,        -,        -,        -,        -
M2500  ,建材營造類指數,20000131,        0,     0.35,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000131,        0,  -724.14,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000131,        -,    13.49,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000131,        -,    -1.02,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000201,        -,   -85.66,        -,        -,        -,        -
M2500  ,建材營造類指數,20000201,        5,   -48.98,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000201,        0,    23.64,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000201,        -,     3.38,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000201,        -,    -4.22,        -,        -,        -,        -
