日期,收盤價,開市,高,低,成交量,更改%,報酬
2019年10月4日,"8,148.10","8,227.60","8,233.60","8,041.40",416.92K,-0.96%,0.009670966
2019年10月3日,"8,226.90","8,363.60","8,391.70","8,090.10",460.97K,-1.64%,0.016676999
2019年10月2日,"8,364.10","8,302.70","8,374.00","8,167.70",405.86K,0.74%,-0.007340897
2019年10月1日,"8,302.70","8,285.00","8,486.20","8,187.90",533.95K,0.22%,-0.002216147
2019年9月30日,"8,284.30","8,048.90","8,318.50","7,749.00",600.26K,2.92%,-0.028391053
2019年9月29日,"8,049.10","8,208.00","8,226.80","7,922.10",418.48K,-1.94%,0.019803456
2019年9月28日,"8,208.50","8,184.50","8,297.20","8,031.10",457.79K,0.29%,-0.002875069
2019年9月27日,"8,184.90","8,063.80","8,257.40","7,882.10",561.40K,1.50%,-0.014795538
2019年9月26日,"8,063.80","8,432.50","8,463.10","7,773.60",731.03K,-4.37%,0.045710459
2019年9月25日,"8,432.40","8,512.30","8,729.80","8,245.10",696.11K,-0.96%,0.009665101
2019年9月24日,"8,513.90","9,702.70","9,793.80","8,069.40",933.16K,-12.25%,0.139571759
2019年9月23日,"9,702.20","10,031.30","10,048.80","9,656.30",431.10K,-3.28%,0.033951063
2019年9月22日,"10,031.60","9,993.00","10,075.00","9,870.90",337.06K,0.39%,-0.003847841
2019年9月21日,"9,993.00","10,172.80","10,177.90","9,939.80",326.17K,-1.77%,0.017982588
2019年9月20日,"10,172.70","10,251.50","10,279.50","10,088.60",362.07K,-0.76%,0.00764792
2019年9月19日,"10,250.50","10,164.60","10,297.60","9,707.60",542.25K,0.84%,-0.008370323
2019年9月18日,"10,164.70","10,195.70","10,257.50","10,119.30",318.82K,-0.30%,0.00304977
2019年9月17日,"10,195.70","10,254.60","10,273.60","10,153.50",321.64K,-0.58%,0.005865218
2019年9月16日,"10,255.50","10,311.30","10,360.50","10,108.50",372.53K,-0.54%,0.005460485
2019年9月15日,"10,311.50","10,337.30","10,360.40","10,272.00",255.79K,-0.25%,0.002502061
2019年9月14日,"10,337.30","10,342.20","10,421.40","10,253.70",326.44K,-0.05%,0.000464338
2019年9月13日,"10,342.10","10,415.20","10,441.40","10,174.10",365.52K,-0.70%,0.007058528
2019年9月12日,"10,415.10","10,162.40","10,447.90","10,051.00",413.22K,2.49%,-0.024253248
2019年9月11日,"10,162.50","10,104.90","10,257.50","9,908.90",413.06K,0.57%,-0.005618696
2019年9月10日,"10,105.40","10,308.70","10,379.80","9,970.70",383.22K,-1.98%,0.020147644
2019年9月9日,"10,309.00","10,402.10","10,478.00","10,095.70",473.76K,-0.90%,0.009098846
2019年9月8日,"10,402.80","10,461.60","10,578.00","10,266.30",339.73K,-0.56%,0.00560426
2019年9月7日,"10,461.10","10,306.90","10,556.40","10,302.30",393.57K,1.47%,-0.014510902
2019年9月6日,"10,309.30","10,566.70","10,896.20","10,227.40",643.02K,-2.44%,0.024987148
2019年9月5日,"10,566.90","10,567.80","10,630.70","10,469.90",402.09K,-0.01%,0.000123026
2019年9月4日,"10,568.20","10,611.60","10,783.60","10,388.60",504.45K,-0.42%,0.004172896
2019年9月3日,"10,612.30","10,348.10","10,756.80","10,283.50",578.79K,2.55%,-0.024829679
2019年9月2日,"10,348.80","9,728.80","10,431.50","9,720.30",542.79K,6.37%,-0.059862013
2019年9月1日,"9,729.30","9,594.70","9,799.50","9,533.60",322.66K,1.41%,-0.013865335
2019年8月31日,"9,594.40","9,585.50","9,677.50","9,457.30",311.49K,0.09%,-0.000938047
2019年8月30日,"9,585.40","9,494.10","9,675.70","9,370.20",413.92K,0.99%,-0.009848311
2019年8月29日,"9,491.00","9,729.10","9,729.10","9,343.00",509.13K,-2.45%,0.025118533
2019年8月28日,"9,729.40","10,184.70","10,271.30","9,629.60",580.29K,-4.47%,0.046806586
2019年8月27日,"10,184.80","10,372.20","10,387.60","10,060.20",419.81K,-1.80%,0.018360694
2019年8月26日,"10,371.80","10,136.00","10,568.20","10,136.00",568.77K,2.32%,-0.022705798
2019年8月25日,"10,136.30","10,132.10","10,307.00","9,935.20",422.53K,0.05%,-0.000522873
2019年8月24日,"10,131.00","10,389.40","10,415.90","9,917.50",463.85K,-2.48%,0.025436778
2019年8月23日,"10,388.70","10,104.90","10,434.30","9,921.40",436.26K,2.81%,-0.027308518
2019年8月22日,"10,105.00","10,141.10","10,218.20","9,777.00",520.75K,-0.36%,0.003612073
2019年8月21日,"10,141.50","10,753.30","10,797.80","9,908.00",717.65K,-5.68%,0.060257358
2019年8月20日,"10,752.60","10,911.20","10,941.60","10,581.00",515.47K,-1.45%,0.014703421
2019年8月19日,"10,910.70","10,312.80","10,923.90","10,267.80",519.01K,5.80%,-0.054808582
2019年8月18日,"10,312.70","10,219.30","10,494.90","10,086.70",441.11K,0.93%,-0.009173155
2019年8月17日,"10,218.10","10,335.50","10,460.70","10,016.30",497.77K,-1.14%,0.011499202
2019年8月16日,"10,335.60","10,300.90","10,734.00","9,788.60",798.67K,0.31%,-0.003115446
2019年8月15日,"10,303.40","10,053.30","10,448.20","9,580.10",930.05K,2.53%,-0.024652057
2019年8月14日,"10,049.40","10,894.20","10,894.50","9,965.50",745.59K,-7.74%,0.083935359
2019年8月13日,"10,892.90","11,395.00","11,445.60","10,793.20",540.78K,-4.40%,0.046020803
2019年8月12日,"11,394.20","11,505.10","11,508.60","11,267.30",391.08K,-1.07%,0.010794966
2019年8月11日,"11,517.20","11,314.60","11,728.40","11,146.10",435.83K,1.79%,-0.017599764
2019年8月10日,"11,314.50","12,090.50","12,185.00","11,281.60",570.74K,-6.41%,0.068522692
2019年8月9日,"12,089.80","12,190.00","12,225.30","11,885.00",558.72K,-0.84%,0.008420321
2019年8月8日,"12,191.60","12,015.90","12,236.60","11,727.00",592.15K,1.48%,-0.014575609
2019年8月7日,"12,013.90","11,481.00","12,114.50","11,406.40",702.85K,4.64%,-0.044365277
2019年8月6日,"11,480.90","11,817.60","12,291.90","11,237.00",807.58K,-2.84%,0.029257288
2019年8月5日,"11,816.80","10,934.80","11,922.30","10,934.80",769.63K,8.07%,-0.074656421
2019年8月4日,"10,934.60","10,816.10","11,017.70","10,568.80",585.71K,1.10%,-0.01087374
2019年8月3日,"10,815.70","10,519.90","10,893.60","10,504.50",508.75K,2.81%,-0.02733064
2019年8月2日,"10,520.10","10,380.50","10,664.80","10,330.50",578.29K,1.35%,-0.013317364
2019年8月1日,"10,380.00","10,081.90","10,459.00","9,890.60",608.37K,2.96%,-0.028709056
2019年7月31日,"10,082.00","9,580.30","10,100.00","9,562.40",589.84K,5.23%,-0.049722277
2019年7月30日,"9,580.70","9,580.00","9,703.00","9,483.00",511.51K,0.00%,2.08753E-05
2019年7月29日,"9,580.90","9,728.50","9,835.40","9,502.50",510.90K,-1.51%,0.015332589
2019年7月28日,"9,727.80","9,491.10","9,798.50","9,401.10",518.59K,2.48%,-0.024229528
2019年7月27日,"9,492.10","9,830.40","10,232.30","9,389.10",661.89K,-3.45%,0.035703374
2019年7月26日,"9,831.00","9,945.20","10,436.10","9,724.20",493.75K,-1.15%,0.011626488
2019年7月25日,"9,945.30","9,804.70","10,203.50","9,776.60",545.85K,1.44%,-0.014177551
2019年7月24日,"9,804.30","9,887.20","9,945.30","9,584.00",639.54K,-0.85%,0.008608468
2019年7月23日,"9,888.70","10,412.80","10,414.70","9,865.40",663.38K,-5.03%,0.052969551
2019年7月22日,"10,412.50","10,715.10","10,806.30","10,196.50",591.27K,-2.82%,0.028993998
2019年7月21日,"10,714.40","10,827.00","10,883.80","10,442.50",562.17K,-1.04%,0.010481222
2019年7月20日,"10,826.70","10,571.90","11,155.60","10,462.00",668.94K,2.41%,-0.023571356
2019年7月19日,"10,571.50","10,651.60","10,758.40","10,160.70",727.79K,-0.75%,0.007558057
2019年7月18日,"10,651.40","9,723.10","10,787.10","9,390.00",974.49K,9.55%,-0.087143474
2019年7月17日,"9,723.20","9,425.10","9,983.60","9,082.60",1.03M,3.17%,-0.030689485
2019年7月16日,"9,424.80","10,844.00","11,019.50","9,375.30",1.05M,-13.10%,0.15078304
2019年7月15日,"10,845.90","10,199.90","11,064.70","9,885.40",956.52K,6.33%,-0.059543238
2019年7月14日,"10,200.10","11,364.30","11,448.70","10,128.90",840.76K,-10.25%,0.114194959
2019年7月13日,"11,364.90","11,762.80","11,798.40","10,839.40",747.71K,-3.38%,0.034949714
2019年7月12日,"11,762.10","11,343.70","11,881.40","11,109.80",738.17K,3.70%,-0.035690906
2019年7月11日,"11,342.30","12,111.60","12,111.60","11,029.00",943.13K,-6.34%,0.067737584
2019年7月10日,"12,110.60","12,542.80","13,134.40","11,594.90",1.11M,-3.44%,0.035580401
2019年7月9日,"12,541.50","12,250.60","12,772.90","12,111.20",847.84K,2.36%,-0.023035522
2019年7月8日,"12,252.60","11,415.80","12,332.30","11,304.80",695.60K,7.33%,-0.068287547
2019年7月7日,"11,415.90","11,267.90","11,524.60","11,108.10",601.93K,1.31%,-0.012955615
2019年7月6日,"11,268.00","10,969.80","11,650.20","10,967.90",688.96K,2.71%,-0.026428825
2019年7月5日,"10,970.20","11,159.70","11,381.80","10,810.30",772.67K,-1.73%,0.017584
2019年7月4日,"11,163.10","11,899.30","11,948.00","11,087.10",840.34K,-6.20%,0.066083794
2019年7月3日,"11,900.80","10,835.90","11,931.80","10,835.90",998.73K,9.83%,-0.089481379
2019年7月2日,"10,835.90","10,615.50","10,923.50","9,728.50",1.12M,2.07%,-0.020238282
2019年7月1日,"10,616.60","10,821.40","11,254.50","10,041.60",1.04M,-1.87%,0.019026807
2019年6月30日,"10,818.60","11,906.00","12,179.30","10,765.40",880.77K,-9.14%,0.100558298
2019年6月29日,"11,906.50","12,408.00","12,422.90","11,490.80",834.62K,-4.05%,0.042212237
2019年6月28日,"12,409.10","11,288.40","12,461.80","10,970.50",1.09M,9.93%,-0.090361106
2019年6月27日,"11,287.80","13,062.40","13,422.00","10,493.50",1.59M,-13.59%,0.157338011
2019年6月26日,"13,063.80","11,811.60","13,929.80","11,747.30",1.48M,10.62%,-0.095982792
2019年6月25日,"11,809.90","11,046.60","11,833.90","11,033.70",781.09K,6.91%,-0.06464915
2019年6月24日,"11,046.40","10,897.30","11,114.40","10,622.60",566.96K,1.37%,-0.013515716
2019年6月23日,"10,897.10","10,721.50","11,361.30","10,557.80",683.79K,1.64%,-0.016096026
2019年6月22日,"10,721.70","10,178.10","11,160.50","10,031.30",1.09M,5.33%,-0.050588992
2019年6月21日,"10,179.30","9,517.70","10,184.30","9,517.40",769.12K,6.96%,-0.065063413
2019年6月20日,"9,517.00","9,255.00","9,583.90","9,188.40",693.62K,2.83%,-0.027487654
2019年6月19日,"9,255.40","9,080.70","9,295.10","9,044.00",587.57K,1.93%,-0.018886272
2019年6月18日,"9,080.60","9,318.90","9,336.10","8,962.70",723.17K,-2.56%,0.026231747
2019年6月17日,"9,318.80","8,961.00","9,438.10","8,959.80",738.80K,3.98%,-0.038234537
2019年6月16日,"8,962.50","8,812.20","9,332.00","8,771.10",849.77K,1.70%,-0.016736402
2019年6月15日,"8,812.50","8,655.80","8,856.70","8,582.30",608.69K,1.81%,-0.017747518
2019年6月14日,"8,656.10","8,218.60","8,685.30","8,153.20",643.17K,5.32%,-0.050496182
2019年6月13日,"8,219.00","8,132.40","8,306.10","8,028.60",574.21K,1.06%,-0.010451393
2019年6月12日,"8,133.10","7,888.00","8,198.10","7,805.80",607.89K,3.11%,-0.03013611
2019年6月11日,"7,888.00","7,987.80","8,010.40","7,714.50",579.00K,-1.25%,0.01265213
2019年6月10日,"7,987.80","7,635.00","8,012.80","7,523.60",641.38K,4.62%,-0.044167355
2019年6月9日,"7,635.00","7,901.60","7,937.50","7,516.90",554.48K,-3.37%,0.034891945
2019年6月8日,"7,901.40","7,985.30","8,044.40","7,770.50",485.81K,-1.05%,0.010605715
2019年6月7日,"7,985.20","7,785.80","8,099.40","7,749.40",588.87K,2.57%,-0.025083905
2019年6月6日,"7,784.90","7,779.60","7,861.40","7,480.40",651.82K,0.08%,-0.000745032
2019年6月5日,"7,779.10","7,685.60","7,885.00","7,590.40",762.94K,1.22%,-0.01203224
2019年6月4日,"7,685.50","8,118.10","8,118.10","7,494.00",966.95K,-5.41%,0.057159586
2019年6月3日,"8,124.80","8,728.60","8,734.90","8,102.70",739.45K,-6.92%,0.074315675
2019年6月2日,"8,728.60","8,545.80","8,807.70","8,534.80",614.54K,2.14%,-0.020954105
2019年6月1日,"8,545.70","8,556.90","8,615.80","8,454.00",686.75K,-0.15%,0.001474426
2019年5月31日,"8,558.30","8,271.40","8,578.80","8,135.00",858.41K,3.46%,-0.03346459
2019年5月30日,"8,271.90","8,647.80","9,045.90","8,054.70",1.04M,-4.35%,0.045443006
2019年5月29日,"8,647.80","8,715.60","8,747.20","8,435.30",15.43M,-0.79%,0.00792109
2019年5月28日,"8,716.30","8,759.40","8,794.10","8,568.80",763.20K,-0.50%,0.005025068
2019年5月27日,"8,760.10","8,628.90","8,902.80","8,607.30",907.96K,1.51%,-0.014828598
2019年5月26日,"8,630.20","8,029.60","8,718.60","7,866.50",872.12K,7.51%,-0.069847744
2019年5月25日,"8,027.40","7,971.40","8,090.10","7,919.10",691.27K,0.72%,-0.007138052
2019年5月24日,"7,970.10","7,852.80","8,124.10","7,775.40",868.47K,1.50%,-0.014805335
2019年5月23日,"7,852.10","7,637.20","7,939.10","7,486.80",815.14K,2.83%,-0.027559506
2019年5月22日,"7,635.70","7,928.70","7,999.00","7,545.90",821.40K,-3.72%,0.038581924
2019年5月21日,"7,930.30","7,965.00","8,056.80","7,813.20",804.88K,-0.44%,0.004413452
2019年5月20日,"7,965.30","8,156.40","8,156.40","7,604.00",958.81K,-2.35%,0.024091999
2019年5月19日,"8,157.20","7,261.90","8,253.40","7,252.30",1.08M,12.32%,-0.109669985
2019年5月18日,"7,262.60","7,359.90","7,458.50","7,189.40",865.53K,-1.32%,0.013342329
2019年5月17日,"7,359.50","7,871.90","7,924.00","6,998.60",1.43M,-6.51%,0.069610707
2019年5月16日,"7,871.80","8,164.80","8,293.30","7,720.40",1.18M,-3.59%,0.037196067
2019年5月15日,"8,164.60","7,994.80","8,225.30","7,856.50",1.13M,2.13%,-0.020821596
2019年5月14日,"7,994.60","7,806.40","8,323.90","7,674.00",1.33M,2.42%,-0.023590924
2019年5月13日,"7,806.00","6,984.70","8,058.30","6,893.10",1.20M,11.76%,-0.105201127
2019年5月12日,"6,984.80","7,190.00","7,518.90","6,802.60",1.35M,-2.86%,0.029421029
2019年5月11日,"7,190.30","6,386.60","7,373.80","6,386.50",1.31M,12.59%,-0.111859032
2019年5月10日,"6,386.00","6,194.30","6,466.60","6,157.80",907.94K,3.14%,-0.03045725
2019年5月9日,"6,191.50","5,990.50","6,206.00","5,990.00",799.96K,3.36%,-0.032496164
2019年5月8日,"5,990.30","5,849.40","6,011.30","5,799.10",757.13K,2.41%,-0.023504666
2019年5月7日,"5,849.50","5,745.50","6,019.80","5,745.50",955.88K,1.82%,-0.017847679
2019年5月6日,"5,745.10","5,775.10","5,801.40","5,630.50",755.39K,-0.52%,0.005187029
2019年5月5日,"5,774.90","5,830.80","5,838.20","5,708.20",709.02K,-0.96%,0.009697138
2019年5月4日,"5,830.90","5,768.00","5,899.20","5,605.00",920.61K,1.11%,-0.010993157
2019年5月3日,"5,766.80","5,493.60","5,844.20","5,478.70",1.04M,4.97%,-0.047339946
2019年5月2日,"5,493.80","5,384.60","5,530.80","5,370.00",722.23K,2.04%,-0.019949762
2019年5月1日,"5,384.20","5,321.10","5,396.30","5,319.50",623.64K,1.19%,-0.011775194
2019年4月30日,"5,320.80","5,235.40","5,336.60","5,195.90",697.42K,1.64%,-0.016125395
2019年4月29日,"5,235.00","5,302.40","5,322.90","5,188.90",775.82K,-1.27%,0.012855778
2019年4月28日,"5,302.30","5,265.70","5,332.50","5,234.40",681.41K,0.69%,-0.006864945
2019年4月27日,"5,265.90","5,298.20","5,318.10","5,225.40",833.13K,-0.61%,0.006152794
2019年4月26日,"5,298.30","5,209.20","5,469.30","5,159.30",1.03M,1.71%,-0.016835589
2019年4月25日,"5,209.10","5,415.60","5,528.20","5,137.40",955.36K,-3.81%,0.039642165
2019年4月24日,"5,415.60","5,511.20","5,589.60","5,346.80",994.04K,-1.74%,0.017726568
2019年4月23日,"5,511.60","5,346.50","5,594.40","5,291.40",900.00K,3.08%,-0.029918717
2019年4月22日,"5,346.70","5,248.20","5,370.20","5,170.20",920.77K,1.97%,-0.019301625
2019年4月21日,"5,243.50","5,290.20","5,308.20","5,189.80",811.41K,-0.88%,0.008906265
2019年4月20日,"5,290.20","5,241.00","5,327.00","5,240.20",782.32K,0.94%,-0.009300215
2019年4月19日,"5,241.00","5,264.80","5,282.40","5,192.10",787.09K,-0.45%,0.004522038
2019年4月18日,"5,264.70","5,208.30","5,293.10","5,205.00",727.97K,1.08%,-0.010712861
2019年4月17日,"5,208.30","5,182.10","5,230.90","5,165.50",806.52K,0.53%,-0.005260834
2019年4月16日,"5,180.90","5,031.40","5,198.40","5,014.40",631.05K,2.95%,-0.028682275
2019年4月15日,"5,032.30","5,135.10","5,168.00","4,964.20",688.20K,-2.00%,0.02036842
2019年4月14日,"5,134.80","5,052.00","5,153.50","5,010.70",566.38K,1.64%,-0.016164213
2019年4月13日,"5,051.80","5,054.20","5,093.40","5,011.60",577.16K,-0.05%,0.000475078
2019年4月12日,"5,054.20","5,022.70","5,080.50","4,889.20",779.14K,0.63%,-0.006252226
2019年4月11日,"5,022.60","5,307.70","5,337.00","4,948.00",943.49K,-5.37%,0.056783339
2019年4月10日,"5,307.80","5,158.40","5,404.10","5,142.90",837.51K,2.89%,-0.028147255
2019年4月9日,"5,158.40","5,245.00","5,245.90","5,095.20",784.62K,-1.65%,0.016826923
2019年4月8日,"5,245.20","5,173.50","5,300.60","5,060.50",928.23K,1.38%,-0.013650576
2019年4月7日,"5,173.60","5,046.10","5,219.50","5,033.70",841.27K,2.53%,-0.024625019
2019年4月6日,"5,046.20","5,010.00","5,198.40","4,947.90",952.18K,0.72%,-0.007134081
2019年4月5日,"5,010.20","4,902.50","5,029.40","4,888.30",851.72K,2.20%,-0.021516107
2019年4月4日,"4,902.40","4,968.70","5,042.50","4,789.20",1.05M,-1.33%,0.013523988
2019年4月3日,"4,968.70","4,859.30","5,278.40","4,814.00",13.83M,2.25%,-0.022017832
2019年4月2日,"4,859.30","4,145.10","4,899.60","4,143.50",14.77M,17.23%,-0.146975902
2019年4月1日,"4,145.10","4,102.30","4,159.10","4,076.80",3.22M,1.04%,-0.010325445
2019年3月31日,"4,102.30","4,111.80","4,121.90","4,082.20",2.43M,-0.23%,0.002315774
2019年3月30日,"4,111.80","4,103.70","4,138.10","4,057.10",2.55M,0.23%,-0.002334744
2019年3月29日,"4,102.20","4,025.70","4,123.10","4,022.60",3.30M,1.90%,-0.018672907
2019年3月28日,"4,025.60","4,041.70","4,041.70","4,008.40",2.11M,-0.40%,0.003999404
2019年3月27日,"4,041.70","3,942.80","4,043.30","3,936.20",2.78M,2.51%,-0.024469901
2019年3月26日,"3,942.80","3,937.10","3,950.70","3,899.90",2.53M,0.15%,-0.001471036
2019年3月25日,"3,937.00","3,994.80","4,000.50","3,897.90",2.86M,-1.44%,0.014655829
2019年3月24日,"3,994.70","4,002.60","4,005.70","3,967.00",2.04M,-0.20%,0.001952587
2019年3月23日,"4,002.50","3,990.40","4,018.20","3,980.80",2.00M,0.30%,-0.003023111
2019年3月22日,"3,990.40","3,982.20","4,005.70","3,971.80",2.83M,0.21%,-0.002054932
2019年3月21日,"3,982.20","4,041.20","4,064.00","3,923.80",3.88M,-1.46%,0.014815931
2019年3月20日,"4,041.20","4,017.00","4,050.00","3,985.30",3.18M,0.60%,-0.00598832
2019年3月19日,"4,017.00","3,990.20","4,029.90","3,972.40",2.99M,0.67%,-0.006671646
2019年3月18日,"3,990.20","3,981.50","4,032.30","3,958.50",2.62M,0.22%,-0.002180342
2019年3月17日,"3,981.50","4,006.40","4,009.80","3,956.30",1.87M,-0.62%,0.006253924
2019年3月16日,"4,006.40","3,924.40","4,050.60","3,923.70",3.46M,2.09%,-0.020492212
2019年3月15日,"3,924.30","3,879.00","3,935.70","3,874.80",3.11M,1.17%,-0.01154346
2019年3月14日,"3,879.00","3,865.10","3,914.70","3,828.40",2.86M,0.36%,-0.003583398
2019年3月13日,"3,865.10","3,885.90","3,894.70","3,847.40",2.28M,-0.54%,0.005407363
2019年3月12日,"3,886.00","3,870.30","3,900.10","3,817.10",2.90M,0.41%,-0.004040144
2019年3月11日,"3,870.30","3,915.20","3,935.50","3,842.40",3.19M,-1.15%,0.011601168
2019年3月10日,"3,915.20","3,944.40","3,944.50","3,889.20",1.89M,-0.74%,0.00743257
2019年3月9日,"3,944.30","3,865.60","3,964.00","3,859.70",2.48M,2.03%,-0.019876784
2019年3月8日,"3,865.90","3,875.10","3,929.00","3,810.70",2.96M,-0.24%,0.002379782
2019年3月7日,"3,875.10","3,863.10","3,907.40","3,847.90",2.60M,0.32%,-0.0031225
2019年3月6日,"3,863.00","3,857.20","3,887.30","3,816.70",2.52M,0.15%,-0.001501424
2019年3月5日,"3,857.20","3,715.90","3,873.20","3,705.70",3.82M,3.80%,-0.036632791
2019年3月4日,"3,715.90","3,809.70","3,828.40","3,681.80",2.85M,-2.45%,0.025189052
2019年3月3日,"3,809.50","3,823.20","3,836.60","3,789.70",1.51M,-0.36%,0.003570022
2019年3月2日,"3,823.10","3,821.90","3,843.20","3,783.60",1.61M,0.03%,-0.000313881
2019年3月1日,"3,821.90","3,816.70","3,855.80","3,816.40",1.74M,0.14%,-0.001386745
2019年2月28日,"3,816.60","3,814.60","3,883.70","3,783.30",2.31M,0.05%,-0.000524027
2019年2月27日,"3,814.60","3,810.30","3,836.40","3,701.90",2.82M,0.11%,-0.001127248
2019年2月26日,"3,810.30","3,833.50","3,845.50","3,775.00",2.09M,-0.61%,0.006141249
2019年2月25日,"3,833.70","3,755.70","3,870.70","3,753.80",765.87K,2.09%,-0.020476302
2019年2月24日,"3,755.20","4,120.50","4,194.20","3,738.70",977.78K,-8.86%,0.097251811
2019年2月23日,"4,120.40","3,965.20","4,152.60","3,939.40",727.85K,3.91%,-0.037666246
2019年2月22日,"3,965.20","3,937.40","3,983.10","3,931.70",649.55K,0.73%,-0.007212751
2019年2月21日,"3,936.60","3,972.00","4,011.50","3,909.20",668.16K,-0.90%,0.009094142
2019年2月20日,"3,972.40","3,914.30","3,983.60","3,881.20",698.01K,1.48%,-0.014625919
2019年2月19日,"3,914.30","3,896.40","3,993.80","3,863.70",1.44M,0.47%,-0.004675165
2019年2月18日,"3,896.00","3,664.20","3,903.70","3,655.10",933.15K,6.33%,-0.05949692
2019年2月17日,"3,664.20","3,616.80","3,689.90","3,607.90",580.51K,1.31%,-0.012935975
2019年2月16日,"3,616.80","3,604.70","3,641.90","3,599.70",485.63K,0.34%,-0.003345499
2019年2月15日,"3,604.70","3,592.60","3,648.30","3,581.40",516.21K,0.34%,-0.003356729
2019年2月14日,"3,592.60","3,611.50","3,624.50","3,580.20",498.14K,-0.52%,0.005260814
2019年2月13日,"3,611.50","3,632.00","3,663.50","3,599.20",558.02K,-0.56%,0.005676312
2019年2月12日,"3,632.00","3,631.80","3,656.40","3,594.40",545.82K,0.01%,-5.50661E-05
2019年2月11日,"3,631.80","3,678.80","3,681.10","3,623.80",517.28K,-1.28%,0.01299631
2019年2月10日,"3,679.00","3,661.00","3,680.60","3,617.10",501.90K,0.48%,-0.004783909
2019年2月9日,"3,661.40","3,661.60","3,675.30","3,633.20",454.80K,-0.01%,8.19359E-05
2019年2月8日,"3,661.70","3,397.30","3,721.10","3,382.50",699.23K,7.77%,-0.07209766
2019年2月7日,"3,397.70","3,404.90","3,421.80","3,390.30",471.36K,-0.20%,0.001942491
2019年2月6日,"3,404.30","3,468.50","3,478.00","3,383.90",514.21K,-1.85%,0.018829128
2019年2月5日,"3,468.40","3,463.00","3,485.90","3,450.30",460.95K,0.16%,-0.001614577
2019年2月4日,"3,462.80","3,459.00","3,479.70","3,437.10",503.92K,0.11%,-0.001068499
2019年2月3日,"3,459.10","3,502.30","3,507.80","3,431.30",451.66K,-1.24%,0.012546616
2019年2月2日,"3,502.50","3,467.90","3,514.50","3,447.80",443.60K,1.00%,-0.009878658
2019年2月1日,"3,467.90","3,437.70","3,485.70","3,415.30",481.58K,0.90%,-0.00885262
2019年1月31日,"3,437.20","3,460.00","3,484.70","3,427.00",477.07K,-0.66%,0.006633306
2019年1月30日,"3,460.00","3,414.60","3,479.00","3,394.20",600.25K,1.32%,-0.013063584
2019年1月29日,"3,414.80","3,442.80","3,450.10","3,368.20",585.46K,-0.81%,0.008199602
2019年1月28日,"3,442.80","3,555.80","3,561.20","3,395.70",620.85K,-3.17%,0.032764029
2019年1月27日,"3,555.60","3,570.90","3,583.20","3,509.20",464.02K,-0.43%,0.004303071
2019年1月26日,"3,570.90","3,572.00","3,652.50","3,556.10",432.55K,-0.03%,0.000308046
2019年1月25日,"3,572.00","3,574.30","3,582.60","3,542.20",448.89K,-0.06%,0.000643897
2019年1月24日,"3,574.30","3,561.40","3,587.00","3,539.70",428.60K,0.36%,-0.003581121
2019年1月23日,"3,561.50","3,580.10","3,608.30","3,532.80",445.87K,-0.52%,0.005222519
2019年1月22日,"3,580.10","3,536.90","3,607.90","3,465.20",447.70K,1.23%,-0.012122566
2019年1月21日,"3,536.70","3,542.70","3,561.40","3,505.40",394.17K,-0.16%,0.001583397
2019年1月20日,"3,542.30","3,676.20","3,699.10","3,503.90",563.31K,-3.68%,0.038251983
2019年1月19日,"3,677.80","3,605.80","3,715.20","3,604.10",537.06K,2.00%,-0.019631301
2019年1月18日,"3,605.60","3,626.30","3,627.90","3,575.70",488.16K,-0.57%,0.005768804
2019年1月17日,"3,626.40","3,588.10","3,636.70","3,554.80",525.10K,1.07%,-0.010589014
2019年1月16日,"3,588.00","3,570.60","3,644.10","3,561.40",487.34K,0.47%,-0.004654404
2019年1月15日,"3,571.30","3,637.50","3,660.80","3,545.70",544.85K,-1.84%,0.018704673
2019年1月14日,"3,638.10","3,490.40","3,672.00","3,490.40",539.93K,4.24%,-0.040653088
2019年1月13日,"3,490.20","3,597.30","3,617.60","3,473.20",452.79K,-2.98%,0.030657269
2019年1月12日,"3,597.20","3,616.60","3,633.90","3,561.30",435.06K,-0.53%,0.005365284
2019年1月11日,"3,616.50","3,603.30","3,655.70","3,563.10",551.64K,0.35%,-0.003539334
2019年1月10日,"3,603.70","3,978.90","4,007.70","3,562.10",697.31K,-9.41%,0.103865472
2019年1月9日,"3,978.00","3,971.00","4,014.20","3,957.50",473.42K,0.17%,-0.001759678
2019年1月8日,"3,971.00","3,985.80","4,070.50","3,943.10",514.08K,-0.37%,0.003752203
2019年1月7日,"3,985.90","4,004.30","4,028.00","3,945.50",500.88K,-0.45%,0.004566095
2019年1月6日,"4,004.10","3,785.70","4,034.10","3,758.50",529.89K,5.78%,-0.054619016
2019年1月5日,"3,785.40","3,802.80","3,846.70","3,769.00",468.45K,-0.46%,0.004570191
2019年1月4日,"3,802.70","3,780.50","3,823.90","3,720.00",488.70K,0.60%,-0.005943146
2019年1月3日,"3,780.10","3,874.10","3,875.80","3,753.00",450.32K,-2.42%,0.024787704
2019年1月2日,"3,873.80","3,809.70","3,894.80","3,768.10",554.47K,1.69%,-0.016624503
2019年1月1日,"3,809.40","3,709.50","3,814.30","3,664.40",469.11K,2.69%,-0.026250853
2018年12月31日,"3,709.40","3,815.10","3,819.60","3,658.80",545.83K,-2.77%,0.028468216
2018年12月30日,"3,815.00","3,708.20","3,837.70","3,682.50",519.17K,2.92%,-0.02836173
