Date,BTC,trend,ETH,XRP,LTC,EOS ,ADA ,DOGE,TRX ,XLM ,ZEC ,ZRX ,ETC ,VET ,DASH, IOTA ,NEO ,QTUM ,MANA,XMR,BNB,ICX,LINK,XEM,ONT,BAT,OMG,SNT,DGB,BCH,ZIL,THETA
2018/8/27,6911.096029,1,286.9611038,0.33831813,60.6765071,5.380548842,0.100915751,0.002493365,0.024598866,0.225949783,151.7835757,0.806726787,12.69074721,0.017990563,184.8763001,0.672138631,20.64129403,4.520256412,0.072543784,105.0781556,11.21713621,0.916645188,0.335893547,0.108727882,2.681693851,0.22384769,4.18270244,0.042106154,0.027752111,549.7629133,0.043938234,0.101736316
2018/8/28,7075.983405,1,296.2961276,0.352397894,63.36461191,5.925714647,0.105695436,0.002634566,0.026907749,0.234609863,155.6872202,0.810309396,13.25322994,0.018066283,194.4081064,0.768411313,21.3179526,4.831634426,0.074663901,107.7277779,11.46807944,0.93343871,0.336192069,0.11279848,2.809600628,0.234418668,4.472479001,0.043741094,0.029448175,567.7260283,0.048036242,0.105588242
2018/8/29,7046.748947,1,288.5053606,0.344660533,61.68645769,6.138318774,0.105332719,0.002614403,0.025441905,0.224007833,153.7014297,0.800092446,13.02125534,0.017014488,189.0583246,0.72584184,19.89384457,4.860823946,0.08067075,103.5066985,11.16314515,0.872696819,0.308456569,0.10872267,2.553244233,0.222424935,4.364070635,0.042593405,0.029481763,554.8454747,0.045190866,0.103060819
2018/8/30,7024.145107,1,285.1028726,0.335561857,60.18044433,6.076286825,0.100893918,0.003212874,0.024773699,0.221274067,150.0590196,0.757225637,12.87531965,0.017116729,183.6966336,0.717723574,19.51515444,4.641421361,0.077609365,102.6740011,10.7518393,0.861700806,0.302288703,0.105510413,2.49875888,0.21364321,4.214209812,0.040686444,0.03049127,540.3970611,0.044771378,0.101559956
2018/8/31,7027.631279,1,282.2231787,0.335519503,62.05226226,6.417742699,0.102229525,0.00488808,0.025304324,0.221207948,150.1767683,0.76509005,12.76318852,0.017051775,194.5716546,0.710683532,20.15550481,4.72040218,0.077748113,116.35718,10.99513047,0.903660768,0.32907947,0.105272098,2.471125709,0.217324187,4.2312298,0.041412079,0.030861823,543.4346767,0.044546637,0.101138291
2018/9/1,7211.270768,1,295.6461618,0.347982818,66.46681114,6.665867471,0.107423657,0.006298365,0.026668819,0.229791138,157.6841137,0.805445799,13.20726208,0.018241525,220.3520197,0.74063855,22.61488275,4.917623332,0.079769324,121.8169205,11.4149243,0.945889641,0.335316439,0.111171146,2.627570009,0.228369512,4.520128889,0.044397608,0.034064277,618.5186255,0.046740395,0.106854783
2018/9/2,7305.272801,1,294.5856885,0.342654064,66.20848047,6.615882795,0.105546661,0.005042904,0.025577923,0.224876222,155.1842511,0.794355674,13.33433589,0.017891381,212.203875,0.714165835,22.04729744,4.77562675,0.078316614,122.4278714,11.283285,0.922936235,0.311866321,0.112620121,2.48909966,0.231580081,4.349838963,0.043005789,0.032637859,649.2782932,0.045376203,0.104662378
2018/9/3,7260.897517,1,288.8528256,0.335754548,65.37599693,6.466299584,0.103623293,0.005302761,0.025043938,0.220736857,157.2628818,0.786788994,14.05447317,0.018742794,217.1306433,0.698635002,22.90519673,4.69588129,0.078126202,135.5648823,11.26149069,0.901385948,0.303878948,0.114437312,2.417287687,0.227742521,4.366119899,0.042883901,0.033707545,628.0236675,0.044782847,0.108134739
2018/9/4,7359.462993,1,285.4857566,0.330812177,67.6559373,6.468298975,0.105293413,0.005267967,0.025224116,0.231474875,156.3896206,0.798642307,13.96238679,0.019419563,216.7218651,0.70327366,24.20698504,4.770047499,0.077018883,137.9251966,11.35357184,0.926981774,0.297377893,0.121637376,2.417740882,0.227846184,4.81035774,0.04377922,0.033718844,626.2309735,0.046077526,0.110960654
2018/9/5,6764.926774,1,232.5957687,0.281468176,59.01983514,5.221304946,0.088588943,0.005004504,0.02186962,0.206671574,133.8356357,0.638004867,11.93920863,0.016228183,174.1020733,0.578299369,19.55321625,3.944389792,0.065457005,115.4202066,10.11806618,0.732932158,0.271909279,0.101535198,1.842587843,0.185326839,3.819803467,0.037102491,0.027494642,530.1596178,0.037683716,0.092038863
2018/9/6,6498.279613,1,229.374958,0.301489352,57.41658645,5.22440514,0.088449542,0.004987775,0.021598609,0.206739419,131.6280411,0.672914849,11.98070419,0.016126432,180.82031,0.599691484,20.34616811,4.016470327,0.064588671,117.5285903,10.25596593,0.739908572,0.272117524,0.102603842,2.067895941,0.182331195,3.937252677,0.037347782,0.026171375,518.1099242,0.038396976,0.094973081
2018/9/7,6397.81887,1,215.4322375,0.289365052,55.75700637,5.061541696,0.083302832,0.005276765,0.020521183,0.205505744,125.2117892,0.629009569,11.6044009,0.015541214,186.4416344,0.567800522,19.47840505,3.918913595,0.060666379,111.4701913,9.972013784,0.683493187,0.258654117,0.100636978,1.971711393,0.172933485,3.678388506,0.03546662,0.024977356,496.8516558,0.036389459,0.09167246
2018/9/8,6181.194451,1,196.8653869,0.274581995,53.02124421,4.740035851,0.077848688,0.005678766,0.019170936,0.194301693,121.5454506,0.573088249,10.98114862,0.014591978,185.3569371,0.531294868,17.91026035,3.618104905,0.057258223,103.7312377,9.468553219,0.634331419,0.241966443,0.097530705,1.877532283,0.152487784,3.383951496,0.033266529,0.024207235,473.2701038,0.033758789,0.086936652
2018/9/9,6260.764806,1,195.8773383,0.27749808,54.78760162,4.951506235,0.076393002,0.0058272,0.019383156,0.191639453,119.5141199,0.577754817,11.20194693,0.014461357,193.2075233,0.556291145,18.39579983,3.599761407,0.0636655,105.4991423,9.503090271,0.623549145,0.239527347,0.09751225,1.842335953,0.156374749,3.410817745,0.033859739,0.024952555,478.4826453,0.035020333,0.085540211
