,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX,BBI
201,0.02477552377785175,0.3925431949075475,0.12388758782201426,0.03716216216216206,-0.023839519333268666,-0.02432778489116516,0.048387096774193505,0.027403918049947684,0.1672937771345877,-0.0183486238532109,-0.013921113689094988,0.06524822695035448,-0.04706666666666659,-0.003990422984836317,-0.017914561322921463,0.03438565288276263,0.00673817381738151,-0.012954901619362746,-0.012305295950155837,-0.011651816312542862,1
202,-0.058654765699713174,0.41487839771101576,-0.01013513513513531,-0.08761972330613699,-0.0979345832241465,-0.08347176079734209,-0.07928388746803083,-0.059342450223198506,-0.04402515723270439,-0.09838321293429653,-0.13656387665198244,0.04512996286775217,-0.13646055437100213,-0.1040242976461655,-0.11868910540301147,-0.04847625797306865,-0.08834388185654019,-0.09216048346483141,-0.07624410287627437,-0.12642554578038445,1
203,-0.02454735376044559,0.13147295742232434,-0.022190062711046732,-0.09439071566731139,-0.06818061790335361,-0.08915770609319007,-0.06657018813314042,-0.04520320173233838,-0.10655737704918022,-0.07372754491017963,-0.20501138952164,-0.006052269601100391,-0.11868866448584825,-0.024140752864157178,-0.061446977205153686,-0.04271395528141875,-0.0861257664337659,-0.08232084394325201,-0.08266323576712775,-0.09789210432297246,1
204,-0.154256233877902,-0.1662838768948094,-0.18454647256438972,-0.14703588143525748,-0.14889789781727392,-0.1552346570397113,-0.2116182572614108,-0.13117170228445096,-0.22079258878023666,-0.1819560272934041,-0.1662763466042153,-0.10367170626349886,-0.21513120365088423,-0.12138970280452055,-0.17498739283913267,-0.14307739747147707,-0.1642024452658516,-0.1539086444370592,-0.15269313127985507,-0.1530979827089337,0
205,-0.14910333048676339,-0.10095693779904302,-0.25323101777059775,-0.16735770825480578,-0.14042057312357636,-0.13564668769716093,-0.18944519621109612,-0.14257687228824756,-0.26835622927522507,-0.19768743006340916,-0.07728337236533955,-0.2983922829581994,-0.18051391862955035,-0.12236461347664318,-0.15625,-0.12511305396442574,-0.14787144065407398,-0.13073779464350876,-0.14095701540957017,-0.15405968077723808,1
206,-0.15947757346623126,-0.22478898267436698,-0.2925563759728598,-0.20729013254786455,-0.15429336905559266,-0.13433515482695801,-0.1910569105691058,-0.13247209906742086,-0.24612736660929435,-0.202662721893491,0.012165450121654375,-0.25091336116910234,-0.17513671162960254,-0.1302345058626465,-0.14535464535464537,-0.12791755077296152,-0.16913229018492182,-0.13880906478483868,-0.16235797793512263,-0.15474919957310573,0
207,-0.23543728703553457,-0.2958206356116674,-0.28255886643050643,-0.2370611653999276,-0.24071776034944903,-0.15791776027996496,-0.24487179487179478,-0.20916269422510092,-0.27175799652863863,-0.2372393961179008,-0.04470588235294126,-0.26577896138482016,-0.2238001958863859,-0.18870192307692313,-0.22918615528531328,-0.1951568992692363,-0.22223739926239583,-0.19309882510672838,-0.22851285286232448,-0.20665742024965317,0
208,-0.22637995259058585,-0.3514661274014156,-0.23845278725824792,-0.18662519440124414,-0.17511751967464217,-0.14182147711826,-0.18611111111111112,-0.17814771571692212,-0.21271929824561409,-0.19648988935520795,-0.015306122448979553,-0.23626673954632416,-0.1536101758323981,-0.13898305084745755,-0.1733668341708543,-0.19127066885148225,-0.19265258894995652,-0.15980029585798805,-0.19044481054365736,-0.14211115255501672,0
209,-0.12225593432089954,-0.04983473175692854,-0.08584114454859404,-0.02733874412644166,-0.0406370437542507,-0.02016724053123442,-0.037209302325581395,-0.06070792159403848,-0.034862385321100975,-0.0949494949494949,0.21489971346704873,-0.23415444229172433,-0.024610667312192525,-0.08595387840670843,-0.07127771911298819,-0.06105025773195871,-0.0694336089873615,-0.05093748761247874,-0.08292426367461425,-0.007920792079207928,1
210,-0.010370069133794346,0.015151515151515138,-0.005218346608074742,0.022862368541380906,0.04018800668748623,0.051816239316239354,0.05789473684210522,-0.0005356903709655692,0.1208718626155878,0.03614457831325302,0.2865168539325842,-0.18915662650602416,0.04987735077677846,0.02191519771319661,0.05317848410757953,0.039402662828355695,-0.010716108181663575,0.02225810675162565,-0.012830482115085418,0.0816673755848576,1
211,-0.01625853071055816,0.04470463012240544,0.012979989183342422,0.04889090086011749,-0.014327088982006297,0.04014598540145986,0.020033388981636202,-0.012232685030361679,0.054386532858530234,0.0330079033007904,0.17766497461928932,0.026397800183318054,0.023865516941033116,0.014601978332548171,0.04585537918871241,0.04048931771192277,-0.03043837882547551,-0.014607732023674602,-0.05098187311178248,0.07998359310910574,1
212,0.04191371907585362,0.08595988538681953,0.060366713681241135,0.08824895494658613,0.06814293860482801,0.09258285113098363,0.045226130653266416,0.00621200105736186,0.2899543378995435,0.05519480519480524,0.13221153846153832,-0.031527608430586884,0.06717935118889762,0.056331246990852124,0.0455873758036236,0.06499826207855408,0.0212292415682247,0.009672650475184952,0.01867505405936698,0.16077441077441068,1
213,0.09804753820033962,0.15363214837712502,0.11937264013941329,0.14990512333965844,0.14601379400516468,0.10909090909090913,0.1901528013582341,0.12782404638107936,0.2979230507320394,0.09519321394910452,0.15270935960591148,0.01976786361987659,0.11581793600721046,0.14320987654320994,0.11286407766990281,0.09346626312978468,0.07780119423955045,0.06996064713598615,0.08953393295175793,0.24038461538461542,1
214,0.06784854453928646,0.05394449641409427,0.0809680310726022,0.08699808795411079,0.059452537217864476,0.06863780359028504,0.17576791808873726,0.08757618807570688,0.22388579387186613,0.05792972459639123,0.12694300518134716,0.008946144211844587,0.02448727015558716,0.0885826771653544,0.03282674772036498,0.06686314238349622,0.0444285202436403,0.03974646771424806,0.02971102971102968,0.1426086956521737,1
215,-0.13013420089467265,-0.2229060743912229,-0.16918510523475438,-0.1567852437417655,-0.1949843445383117,-0.15110441767068283,-0.07890499194847023,-0.14047341870391938,-0.08016476552598217,-0.1468750000000001,-0.044811320754717054,0.017166606432959863,-0.169341495698213,-0.1330275229357799,-0.16884593519044921,-0.19385829473323035,-0.16750503018108653,-0.1482332303065742,-0.1816096348690499,-0.10219560878243517,0
