Date,BTC,ETH,XRP,LTC,EOS,ADA,DOGE,TRX,XLM,ZEC,ZRX,ETC,VET,DASH,IOTA,NEO,QTUM,KNC,MANA,XMR,BNB,ICX,LINK,ATOM,ALGO,BAT,OMG,REP,ARDR,SNT,BTS
2019/8/7,"12,013.90",224.66,0.31104,90.546,4.2249,0.051936,0.002961,0.021615,0.07853,62.23,0.19719,5.9095,0.005011,107.46,0.2763,11.3092,2.9151,0.1721,0.0398,97.413,29.65,0.21868,2.38,3.4943,0.691,0.22188,1.4419,11.1,0.06465,0.020235,0.04647
2019/8/8,"12,191.60",220.16,0.30838,90.209,4.1699,0.052157,0.002933,0.021992,0.07712,62.47,0.18844,6.0086,0.004986,105.83,0.27625,10.8966,2.8125,0.1723,0.041,95.9,31.2,0.21636,2.28,3.2762,0.7278,0.20998,1.4312,11.14,0.06458,0.020071,0.0446
2019/8/9,"12,089.80",209.49,0.29651,84.331,3.9041,0.047707,0.0029,0.019811,0.07184,58.64,0.18832,5.8121,0.004906,103.65,0.2547,10.37,2.6296,0.15968,0.0421,93.416,29.82,0.19467,2.17,3.1456,0.7933,0.1989,1.3233,11.06,0.06038,0.019905,0.04389
2019/8/10,"11,314.50",205.93,0.29925,85.512,4.0643,0.05198,0.002805,0.020467,0.0739,56.67,0.19208,5.6568,0.004909,99.17,0.2611,10.6047,2.6618,0.1606,0.0396,90.653,29.6,0.20229,2.33,3.3458,0.8104,0.20275,1.3203,10.93,0.05567,0.019749,0.0428
2019/8/11,"11,517.20",215.83,0.30287,90.107,4.2054,0.054964,0.002909,0.020781,0.07866,60.2,0.19402,5.8386,0.005118,106.97,0.27006,11.1139,2.7758,0.1673,0.0406,92.507,30.26,0.20472,2.42,3.5434,0.8258,0.20845,1.4273,10.97,0.05759,0.020117,0.04329
2019/8/12,"11,394.20",210.45,0.30067,85.781,4.1301,0.053038,0.002883,0.020695,0.07537,56.8,0.18762,5.793,0.005101,104.41,0.25943,10.7049,2.7039,0.16727,0.04,91.213,30.18,0.20106,2.39,3.3377,0.8039,0.20331,1.376,10.97,0.05745,0.02023,0.04241
2019/8/13,"10,892.90",207.68,0.2979,84.886,4.0784,0.052636,0.002856,0.02049,0.07437,55.42,0.1814,5.9202,0.004916,101.6,0.25728,10.4899,2.6423,0.16234,0.0406,85.7,29.44,0.20011,2.42,3.2564,0.8102,0.19719,1.3581,10.64,0.05552,0.01951,0.0424
2019/8/14,"10,049.40",186.56,0.26313,75.983,3.6714,0.047158,0.002789,0.017748,0.06978,50.47,0.16213,5.6002,0.004624,95.55,0.2327,9.4483,2.3408,0.14944,0.0369,78.888,27,0.18578,2.28,2.8499,0.7187,0.16858,1.1572,9.73,0.0526,0.01785,0.03891
2019/8/15,"10,303.40",187.8,0.2641,76.299,3.6241,0.047336,0.002667,0.01752,0.07115,50.71,0.174,5.6482,0.00458,94.58,0.24293,9.8948,2.3827,0.14832,0.036,82.482,28.1,0.20105,2.42,2.894,0.7084,0.18757,1.1654,10.09,0.054,0.018132,0.03947
2019/8/16,"10,335.60",184.55,0.26061,74.658,3.5794,0.046692,0.002726,0.016876,0.06876,48.87,0.17494,5.5247,0.004493,93.35,0.24161,9.8176,2.2958,0.15135,0.0347,82.194,27.5,0.19243,2.3,2.8855,0.6773,0.17914,1.1575,9.83,0.05429,0.017563,0.03851
2019/8/17,"10,218.10",184.81,0.26544,72.686,3.5588,0.04736,0.002687,0.016901,0.06839,50.09,0.17177,5.4567,0.004457,91.77,0.24222,9.6665,2.4566,0.15105,0.0355,81.809,27.45,0.19748,2.4,2.9089,0.6841,0.17675,1.209,9.58,0.05311,0.017929,0.03783
2019/8/18,"10,312.70",193.68,0.2829,76.296,3.6904,0.050602,0.002748,0.017777,0.07207,52.66,0.17533,5.5728,0.004494,94.78,0.24711,9.8889,2.5531,0.15738,0.0369,87.607,27.91,0.19966,2.5,2.9719,0.6776,0.18456,1.2523,9.74,0.05368,0.018093,0.04079
2019/8/19,"10,910.70",201.64,0.28184,77.103,3.7189,0.050028,0.002814,0.01797,0.07247,54.19,0.1751,5.5441,0.00466,97.18,0.25157,10.1345,2.6933,0.15599,0.0376,89.431,28.78,0.19525,2.49,2.8938,0.6549,0.18516,1.2357,10.37,0.0578,0.018486,0.04299
2019/8/20,"10,752.60",196.14,0.27423,75.089,3.6717,0.049172,0.002773,0.017532,0.06959,51.99,0.16894,6.0292,0.004555,93.61,0.24944,9.8862,2.6111,0.17954,0.0349,85.653,27.99,0.1956,2.36,2.8679,0.6259,0.17954,1.2227,10.1,0.05716,0.017751,0.04209
2019/8/21,"10,141.50",187.24,0.26592,73.218,3.5121,0.047312,0.002689,0.016787,0.06692,50.14,0.17214,6.1541,0.004366,90.11,0.23986,9.4584,2.4883,0.17387,0.0346,80.888,26.95,0.18945,2.21,2.6654,0.568,0.18329,1.1822,9.84,0.05371,0.017688,0.03969
