Date,BTC,ADA,ARDR,ATOM,ALGO,BAT,BCH,BNB,BNT,BTS,DASH,DOGE,ETH,EOS,ETC,HT,ICX,IOTA,KNC,LINK,LTC,MANA,NEO,OMG,QTUM,REP,SNT,THETA,TRX,VET,XLM,XMR,XRP,ZEC,ZRX
28-Jul-19,10815.7,0.057739,0.06634,3.6882,0.7438,0.23479,335.39,27.74,0.48535,0.0445,106.63,0.002922,220.89,4.2888,5.8816,4.7033,0.23992,0.28304,0.18342,2.41,94.192,0.0403,12.0918,1.5319,3.0449,11.1,0.020345,0.1276,0.021828,0.00548,0.08237,87.967,0.31601,65.06,0.21572
4-Aug-19,11314.5,0.05198,0.05567,3.3458,0.8104,0.20275,316.13,29.6,0.43925,0.0428,99.17,0.002805,205.93,4.0643,5.6568,5.0311,0.20229,0.2611,0.1606,2.33,85.512,0.0396,10.6047,1.3203,2.6618,10.93,0.019749,0.1154,0.020467,0.004909,0.0739,90.653,0.29925,56.67,0.19208
11-Aug-19,10218.1,0.04736,0.05311,2.9089,0.6841,0.17675,306.59,27.45,0.38663,0.03783,91.77,0.002687,184.81,3.5588,5.4567,4.8762,0.19748,0.24222,0.15105,2.4,72.686,0.0355,9.6665,1.209,2.4566,9.58,0.017929,0.1154,0.016901,0.004457,0.06839,81.809,0.26544,50.09,0.17177
18-Aug-19,10131,0.050097,0.06279,2.6917,0.5782,0.20312,305.52,26.44,0.38957,0.0401,92.19,0.002705,190.15,3.66,6.8519,4.8154,0.24204,0.25862,0.18405,2.17,73.274,0.0379,10.1008,1.2646,2.5414,9.75,0.018997,0.1298,0.017729,0.004902,0.07035,80.56,0.27137,50.2,0.18548
25-Aug-19,9594.4,0.044777,0.05375,2.014,0.4083,0.17708,279.25,21.22,0.35833,0.03389,79.83,0.002679,171.62,3.3215,6.2635,3.8695,0.20535,0.24686,0.16178,1.78,64.271,0.032,8.7969,1.0932,2.0946,7.78,0.01549,0.1125,0.015482,0.00409,0.06196,67.283,0.25759,44.71,0.16204
1-Sep-19,10461.1,0.045975,0.055,2.1644,0.3689,0.17387,299.71,22.48,0.35416,0.0327,84.1,0.002536,177.74,3.56,6.6388,4.0209,0.20335,0.24068,0.18286,1.77,68.79,0.032,9.0706,1.0538,2.0245,10.9,0.015423,0.1108,0.015372,0.003838,0.06062,77.967,0.25999,46.81,0.16412
8-Sep-19,10337.3,0.046419,0.05647,3.1063,0.3205,0.17407,304.08,21.1,0.3711,0.0342,91.62,0.002476,188.16,4.0204,6.2411,4.1006,0.19753,0.24746,0.21913,1.56,70.491,0.0317,9.0991,1.0485,2.0546,10.52,0.014433,0.1052,0.015772,0.003662,0.05872,75.956,0.26128,46.18,0.16583
15-Sep-19,9993,0.051783,0.06187,3.0705,0.3155,0.20577,312.13,21.14,0.41301,0.03408,93.11,0.002681,215.22,3.9999,6.1549,4.0642,0.20687,0.29311,0.21184,1.89,73.178,0.0337,9.4188,1.1155,2.1427,10.79,0.015381,0.1067,0.018128,0.004136,0.06967,72.536,0.28968,47.67,0.24613
22-Sep-19,8208.5,0.038634,0.05398,2.2124,0.2038,0.16431,227.13,15.75,0.3299,0.02848,71.14,0.002312,173.62,2.8397,4.6721,3.165,0.16518,0.2633,0.18488,1.68,55.459,0.0273,7.3015,0.8161,1.6585,8.33,0.012381,0.0847,0.013557,0.003434,0.0579,57.686,0.24186,40.34,0.21086
29-Sep-19,8127.3,0.03965,0.05565,2.7652,0.2246,0.19679,222.79,15.71,0.34442,0.0287,72.26,0.002399,176.43,2.9863,4.6149,3.135,0.1708,0.27606,0.1993,1.96,56.798,0.0305,7.3312,0.8355,1.7167,8.06,0.012801,0.0858,0.015055,0.003412,0.05857,56.323,0.25318,36.87,0.22096
6-Oct-19,8304.4,0.040409,0.05545,2.8253,0.2576,0.19668,224.18,17.2,0.33558,0.02901,70.68,0.002383,179.87,3.066,4.7058,3.4147,0.16498,0.26869,0.19385,2.59,55.737,0.0318,7.2493,0.8332,1.7769,8.17,0.012494,0.0867,0.015669,0.003679,0.06148,53.573,0.27236,36.58,0.25773
13-Oct-19,7957.3,0.038986,0.05183,2.7423,0.2237,0.20959,213.05,18.17,0.33503,0.02564,67.42,0.002788,171.91,2.866,4.4193,3.3884,0.15375,0.26879,0.18298,2.35,53.737,0.0293,7.1058,0.7676,1.6861,8.14,0.01252,0.0821,0.015468,0.003335,0.06244,54.273,0.29133,35.86,0.31777
