,LINK,LTC,XRP,DOGE,ETC
0,0.27272727272727293,0.3496323125891778,0.20401334159034357,0.4524661893396975,0.31477514394908424
,VET,BNB,ETC,LTC,DOGE
0,0.3082522986096461,0.21212121212121193,0.43770698627976645,0.4720923182114316,0.3854125149461938
,DOGE,ETC,OMG,LTC,LINK
0,0.423512747875354,0.4579174528995711,0.5458020454622678,0.5351661201010698,0.6190476190476193
,ETC,VET,LTC,OMG,LINK
0,0.16362835755173943,0.24658015613215434,0.3243052415783574,0.28432142801024507,0.4285714285714286
,XMR,VET,OMG,LTC,LINK
0,0.34649179148575393,0.5485117346075676,0.36449883449883447,0.3944947792072433,0.3684210526315792
,XMR,OMG,LINK,LTC,VET
0,0.10125017322995444,0.14993070348792448,0.3157894736842106,0.07833762412651701,0.26542256426127353
,LTC,XMR,OMG,VET,LINK
0,-0.05117535703474796,0.04167032996760511,0.06505918882204553,-0.000643029930377792,0.10714285714285698
,NEO,ETC,XMR,OMG,LINK
0,-0.021375997827550397,-0.09276701873699222,-0.062228135714651245,-0.09560931253777205,-0.0746268656716419
,ETC,LINK,XMR,VET,NEO
0,0.04297368193479567,-0.014705882352941235,-0.12833333853213014,0.011589722256627688,-0.09799350007065144
,DOGE,OMG,LINK,VET,ETC
0,-0.029552839238743633,0.0018168360137271744,-0.07142857142857129,0.03125827148199245,0.07047837502692555
,LTC,DOGE,OMG,VET,ETC
0,-0.01979765597914429,-0.09371275327771156,-0.059062359419398525,-0.09167816757861591,-0.08558161084691407
,DOGE,VET,ETC,OMG,LTC
0,-0.11996644295302017,-0.10070925110694762,-0.03632579595827734,-0.008006963547391721,-0.044849931787176
,OMG,ZRX,MANA,BNB,NEO
0,0.13379720311574728,0.03923778515225518,0.031078610603290757,0.12700106723585924,0.27703230269985335
,BNB,OMG,IOTA,LINK,NEO
0,0.18058690744921013,0.1224228305183459,0.1546412975670617,0.06451612903225823,0.20699199794659062
,TRX,OMG,IOTA,BNB,NEO
0,0.15568904593639576,0.10588303249097475,0.1411508282476024,0.08247422680412386,0.1405979864301421
,OMG,XMR,NEO,IOTA,TRX
0,0.13135044697376785,0.2786909665070345,-0.0008051978305236851,0.10012119541180597,0.30408490682463274
,BNB,OMG,BAT,XMR,TRX
0,0.09635974304068529,0.07777824847644932,0.07701191515731964,0.2587086682129567,0.23234698216563698
,OMG,BNB,NEO,TRX,XMR
0,0.008679071232506885,0.0473790322580645,-0.26691648706508186,0.1508963067840945,0.2646184068632502
,BAT,BNB,XRP,TRX,XMR
0,0.025148655283399712,-0.0445075757575758,0.017220979261681535,0.08856071370338459,0.2352931400670737
,SNT,XRP,BAT,TRX,XMR
0,0.0667947251691825,0.018637532133676027,-0.011935757540297853,0.017655318463273728,0.20017196543914118
,KNC,TRX,XRP,SNT,XMR
0,-0.1972419798157823,-0.20984936505024565,-0.06927556181923455,-0.032634664481356546,0.07511930281222878
,LTC,XRP,XLM,SNT,XMR
0,-0.17052340171093083,-0.10333018290987928,-0.029538384187537403,-0.026408823685186156,-0.1958779399601599
,XEM,XRP,NEO,XLM,SNT
0,-0.06848797343627677,-0.08233264704245724,0.01842814053605113,-0.11388976922412053,-0.10279697185245407
,XLM,SNT,XRP,XEM,NEO
0,-0.20768168002210552,-0.18417555265768593,-0.22786020113511896,0.004841702423750371,-0.21352272489838664
,ARDR,ADA,KNC,QTUM,IOTA
0,0.3939764508577617,0.35331204379562053,0.5595927083655721,0.3685288630864978,0.3588485038269116
,XRP,XLM,LTC,LINK,XEM
0,-0.1330455476230007,-0.12834289163899792,-0.09522280331528876,-0.14035087719298245,0.16541239303271227
,OMG,XLM,DOGE,LTC,XEM
0,-0.047650189585000224,-0.11088473174044577,-0.02192118226601003,-0.05112299696604239,0.5521028663273506
,MANA,VET,LINK,BNB,XEM
0,-0.029868578255675016,0.05628423609469846,-0.15094339622641506,0.07869249394673128,0.18077509188155494
,ETC,XMR,ZEC,XLM,SNT
0,0.2067956278652472,0.34492292185741125,0.2706316652994256,0.28412174856999717,0.2989628158446431
,XMR,NEO,ZRX,OMG,SNT
0,0.17977658185051726,0.22691208896558335,0.23758810615106096,0.18998013209472164,0.23861354249554778
,BAT,XLM,SNT,ZRX,NEO
0,0.42778012238868945,0.4601306561629359,0.4997628161991017,0.5074504955959294,0.46465837410835364
,ZRX,OMG,SNT,NEO,XLM
0,0.4328193584693305,0.31163205259677396,0.3444945005884976,0.02963331911831335,0.3177275838466802
,ZRX,ADA,BAT,QTUM,XEM
0,0.2819662308202615,0.14270559815145467,0.22758003579240405,-0.08526208651399492,0.6013819312489204
,XEM,LINK,ZRX,ETH,BAT
0,0.28703100573215234,0.15384615384615374,-0.019081934665514555,0.0987470381273785,0.03692914865626773
,XEM,LINK,ETH,VET,BAT
0,0.285675269698211,-0.045454545454545525,0.08905112094816503,0.031807403804500645,-0.02992679066086268
,XEM,ETH,VET,XRP,LTC
0,0.14850448990615095,0.11284198047678129,0.10574253975417669,0.03711513484605389,0.015538209313137763
,XEM,MANA,ETH,VET,XRP
0,3.538946101855345e-05,-0.04777777777777781,0.012605351293658806,0.09238868777230347,-0.01698938163647723
,VET,LINK,ETH,XEM,XRP
0,0.07302716954551158,-0.0714285714285714,0.03126140839657987,0.013699117563336083,0.03385627771684696
,VET,XRP,ETH,XEM,ZEC
0,0.14382502709176292,0.13690795071376805,0.06238777459407818,0.005803043991938317,0.06406035093568963
,SNT,VET,XRP,QTUM,ETC
0,0.24886481755019418,0.12941776638328184,0.1900480940808591,0.2857757894539803,0.2309680897334585
