Date,BTC,trend,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX
2019/8/16,"10,335.20",1,0.04668,0.677,2.884,0.1788,339.01,27.53,0.00732,185.03,0.1925,0.2413,2.3,55.28,9.818,2.291,0.01688,0.004493,0.06851,0.26055,48.85,0.1751
2019/8/17,"10,214.30",1,0.0474,0.683,2.91,0.1764,330.12,27.5,0.00773,185.61,0.1975,0.2422,2.4,55.88,9.663,2.455,0.01692,0.004454,0.0677,0.26543,50.01,0.1711
2019/8/18,"10,308.40",1,0.05062,0.676,2.971,0.1845,347.15,27.92,0.00787,194.36,0.1995,0.2472,2.5,58.52,9.843,2.547,0.01778,0.004495,0.07072,0.28324,52.62,0.1752
2019/8/19,"10,905.60",1,0.05002,0.655,2.892,0.1846,311.7,28.78,0.00772,202.17,0.1948,0.2511,2.49,61.19,10.125,2.689,0.01795,0.00466,0.07171,0.28184,54.3,0.1745
2019/8/20,"10,744.80",1,0.04917,0.626,2.866,0.1791,314.27,27.99,0.00749,196.26,0.1955,0.249,2.36,60.5,9.886,2.609,0.01752,0.00455,0.06866,0.27397,52,0.1681
2019/8/21,"10,140.50",1,0.04732,0.567,2.667,0.183,308.92,26.94,0.00713,187.56,0.1895,0.2399,2.21,59.17,9.461,2.489,0.0168,0.004369,0.06691,0.26607,49.79,0.1724
2019/8/22,"10,098.70",1,0.04923,0.573,2.715,0.1996,306.55,26.97,0.00748,190.48,0.2253,0.2611,2.22,59.53,9.794,2.54,0.01738,0.004464,0.06819,0.27041,50.77,0.1758
2019/8/23,"10,388.40",1,0.04963,0.574,2.716,0.202,317.27,26.96,0.00754,194.02,0.2422,0.2592,2.24,60.27,9.88,2.603,0.018,0.004594,0.0692,0.27676,50.85,0.1849
2019/8/24,"10,132.20",1,0.05013,0.577,2.694,0.203,324.67,26.28,0.00859,190.6,0.242,0.2581,2.17,58.54,10.102,2.55,0.01773,0.004905,0.07035,0.27127,50.1,0.185
2019/8/25,"10,132.40",1,0.04948,0.538,2.617,0.1917,315,26.1,0.00786,186.49,0.2235,0.2666,2.08,59.29,9.662,2.538,0.01746,0.004481,0.06929,0.26957,50.2,0.1793
2019/8/26,"10,373.60",1,0.04964,0.522,2.616,0.1875,305.99,26.12,0.00838,188.64,0.2402,0.2688,2.07,60.86,9.826,2.534,0.01768,0.004556,0.06966,0.27051,51.47,0.1776
2019/8/27,"10,183.70",1,0.04988,0.524,2.569,0.1891,311.97,25.6,0.00799,187.25,0.2221,0.2602,2.11,59.84,9.594,2.472,0.01762,0.00454,0.0685,0.26963,50.5,0.1723
2019/8/28,"9,721.20",1,0.04587,0.435,2.322,0.1824,315.64,23.36,0.0072,173.06,0.2046,0.2424,1.89,59,9.145,2.224,0.01599,0.004238,0.06402,0.25638,46.42,0.1586
2019/8/29,"9,487.80",1,0.0445,0.401,2.16,0.1701,305.25,21.78,0.00702,168.9,0.2115,0.2503,1.78,58.78,8.758,2.103,0.01547,0.004052,0.06162,0.25699,44.98,0.1545
